Log file open, 01/25/19 22:09:09
LogInit:Display: Running engine for game: HP
LogInit: Version: 4.5.1-2336687+++depot+UE4-Releases+4.5
LogInit: API Version: 2326478
LogInit: Compiled (64-bit): Oct 21 2014 22:32:40
LogInit: Compiled with Visual C++: 18.00.21005.01
LogInit: Build Configuration: Development
LogInit: Branch Name: ++depot+UE4-Releases+4.5
LogInit: Command line:  
LogInit: Base directory: C:/Program Files/Epic Games/UE_4.5/Engine/Binaries/Win64/
LogInit: Rocket: 1
[2019.01.25-20.09.09:009][  0]LogTaskGraph: Started task graph with 3 named threads and 4 total threads.
[2019.01.25-20.09.09:109][  0]LogOnline:Warning: No default platform service specified for OnlineSubsystem
[2019.01.25-20.09.09:319][  0]LogInit: Presizing for 0 objects not considered by GC, pre-allocating 0 bytes.
[2019.01.25-20.09.09:338][  0]LogInit: Object subsystem initialized
[2019.01.25-20.09.09:372][  0]LogConsoleResponse:Warning: Skipping Unknown console variable: 'UIScaleRule = ShortestSide'
[2019.01.25-20.09.09:372][  0]LogConsoleResponse:Warning:   Found in ini file 'C:/Users/PaulCornelDeveloper/Documents/UnrealEngineProjects/Saved/Config/Windows/Engine.ini', in section '[/Script/Engine.RendererSettings]'
[2019.01.25-20.09.09:372][  0]LogConsoleResponse:Warning: Skipping Unknown console variable: 'UIScaleCurve = (EditorCurveData=(Keys=((Time=480.000000,Value=0.444000),(Time=720.000000,Value=0.666000),(Time=1080.000000,Value=1.000000),(Time=8640.000000,Value=8.000000))),ExternalCurve=None)'
[2019.01.25-20.09.09:372][  0]LogConsoleResponse:Warning:   Found in ini file 'C:/Users/PaulCornelDeveloper/Documents/UnrealEngineProjects/Saved/Config/Windows/Engine.ini', in section '[/Script/Engine.RendererSettings]'
[2019.01.25-20.09.09:380][  0]LogInit: Selected Device Profile: [Windows]
[2019.01.25-20.09.09:380][  0]LogInit: Applying CVar settings loaded from the selected device profile: [Windows]
[2019.01.25-20.09.09:420][  0]LogInit: Computer: DESKTOP-0OFQH0I
[2019.01.25-20.09.09:420][  0]LogInit: User: PaulCornelDeveloper
[2019.01.25-20.09.09:427][  0]LogInit: CPU Page size=4096, Cores=2
[2019.01.25-20.09.09:427][  0]LogInit: High frequency timer resolution =10.000000 MHz
[2019.01.25-20.09.09:428][  0]LogMemory: Memory total: Physical=6.9GB (7GB approx) Virtual=131072.0GB
[2019.01.25-20.09.09:428][  0]LogMemory: Platform Memory Stats for Windows
[2019.01.25-20.09.09:428][  0]LogMemory: Process Physical Memory: 66.31 MB used, 66.32 MB peak
[2019.01.25-20.09.09:428][  0]LogMemory: Process Virtual Memory: 41.00 MB used, 41.00 MB peak
[2019.01.25-20.09.09:428][  0]LogMemory: Physical Memory: 3315.89 MB used, 7114.43 MB total
[2019.01.25-20.09.09:428][  0]LogMemory: Virtual Memory: 4427.70 MB used, 134217728.00 MB total
[2019.01.25-20.09.09:566][  0]LogD3D11RHI: Found D3D11 adapter 0: NVIDIA GeForce GT 730 (Feature Level 11_0)
[2019.01.25-20.09.09:566][  0]LogD3D11RHI: Adapter has 2018MB of dedicated video memory, 0MB of dedicated system memory, and 3557MB of shared system memory, 1 output[s]
[2019.01.25-20.09.09:858][  0]LogD3D11RHI: Found D3D11 adapter 1: AMD Radeon(TM) R7 Graphics (Feature Level 11_0)
[2019.01.25-20.09.09:858][  0]LogD3D11RHI: Adapter has 1006MB of dedicated video memory, 0MB of dedicated system memory, and 3557MB of shared system memory, 0 output[s]
[2019.01.25-20.09.09:941][  0]LogD3D11RHI: Found D3D11 adapter 2: Microsoft Basic Render Driver (Feature Level 11_0)
